 Name,HOLBERTONSCHOOL.COM
 Email,abuse@support.gandi.net Phone,+33.170377661
 Name,holbertonschool.com
 Email,abuse@support.gandi.net Phone,+33.170377661
Registrant Name Name,Holberton Inc
Registrant Organization Organization,Holberton Inc
Registrant Street Street,5670 Wilshire Blvd suite 1802 
Registrant City City,Los Angeles
Registrant State/Province State/Province,
Registrant Postal Code Postal Code,90036
Registrant Country Country,US
Registrant Phone Phone,+1.4156227634
Registrant Phone Ext Phone Ext:,
Registrant Fax Fax,
Registrant Fax Ext Fax Ext:,
Registrant Email Email,7da97d10931ddb501d08b8f88c7384bc-37846707@contact.gandi.netAdmin Name Name,Holberton Inc
Admin Organization Organization,Holberton Inc
Admin Street Street,5670 Wilshire Blvd Suite 1802 
Admin City City,Los Angeles
Admin State/Province State/Province,California
Admin Postal Code Postal Code,90036
Admin Country Country,US
Admin Phone Phone,+1.4153580819
Admin Phone Ext Phone Ext:,
Admin Fax Fax,
Admin Fax Ext Fax Ext:,
Admin Email Email,624a82de74a4fa2b64fb39bbe08b290d-37876671@contact.gandi.netTech Name Name,Holberton Inc
Tech Organization Organization,Holberton Inc
Tech Street Street,5670 Wilshire Blvd Suite 1802 
Tech City City,Los Angeles
Tech State/Province State/Province,California
Tech Postal Code Postal Code,90036
Tech Country Country,US
Tech Phone Phone,+1.4153580819
Tech Phone Ext Phone Ext:,
Tech Fax Fax,
Tech Fax Ext Fax Ext:,
Tech Email Email,2c420b43d982c37b7621f2015f3e107b-37876677@contact.gandi.netTech Email Email,
